DepMap_ID,stripped_cell_line_name,CCLE_Name,Alias,COSMICID,sex,source,Achilles_n_replicates,cell_line_NNMD,culture_type,culture_medium,cas9_activity,RRID,sample_collection_site,primary_or_metastasis,primary_disease,Subtype,TCGA_subtype,age,Sanger_Model_ID,WTSI_Master_Cell_ID,depmap_public_comments,lineage,lineage_subtype,lineage_sub_subtype,lineage_molecular_subtype,PatientID,DepmapModelType,OncotreeCode,PatientMolecularSubtype,AgeCategory,PatientRace,SourceDetail,TreatmentStatus,TreatmentDetails,OnboardedMedia,EngineeredModel,TissueOrigin,CatalogNumber,PlateCoating,ModelDerivationMaterial
ACH-000015,NCIH1581,NCIH1581_LUNG,NCI-H1581,9084710.0,Male,ATCC,2.0,"-4,226156938",Adherent,DMEM:F12 + 5% FBS,"47,2",CVCL_1479,lung,Primary,Non-Small Cell Lung Cancer,Large Cell Lung Carcinoma,MISC,44.0,SIDM00748,12370.0,,Lung,NSCLC,NSCLC_large_cell,,PT-ffwajI,LCLC,LCLC,,Adult,caucasian,ATCC via Meyerson (Broad) who received from Gazdar,,,MF-007-008,,,CRL-5878,,
ACH-000016,SLR21,SLR21_KIDNEY,SLR 21,,Unknown,Academic lab,,,Adherent,RPMI + 10% FBS,,CVCL_V607,kidney,Metastatic,Renal Cell Carcinoma,Renal Clear Cell Carcinoma,KIRC,,,,,Kidney,renal_cell_carcinoma,,,PT-JnARLB,CCRCC,CCRCC,,Unknown,,Bill Kaelin (DFCI),,,MF-001-001,,,,,
ACH-000017,SKBR3,SKBR3_BREAST,SK-BR-3,,Female,ATCC,2.0,"-2,932250062",Mixed,McCoy's 5A + 10% FBS,"72,9",CVCL_0033,pleural_effusion,Metastatic,Invasive Breast Carcinoma,Invasive Breast Carcinoma,BRCA,43.0,SIDM00897,,,Breast,breast_carcinoma,ERneg_HER2pos,HER2_amp,PT-8CE6ah,BRCA,BRCA,,Adult,caucasian,ATCC,,,MF-023-001,,,HTB-30,,
ACH-000018,T24,T24_URINARY_TRACT,T24,7248120.0,Female,ATCC,2.0,"-2,945691222",Adherent,McCoy's 5A + 10% FBS,"65,2",CVCL_0554,urinary_tract,Primary,Bladder Urothelial Carcinoma,Bladder Urothelial Carcinoma,BLCA,82.0,SIDM01184,14550.0,,Bladder/Urinary Tract,bladder_carcinoma,,,PT-Mi0cKz,BLCA,BLCA,,Adult,caucasian,ATCC,,,MF-023-001,,,HTB-4,,
ACH-000019,MCF7,MCF7_BREAST,MCF7,9059460.0,Female,ATCC,2.0,"-2,493675452",Adherent,EMEM + 10% FBS + 0.01 mg/ml recombinant insulin,65,CVCL_0031,pleural_effusion,Metastatic,Invasive Breast Carcinoma,Invasive Breast Carcinoma,BRCA,69.0,SIDM00148,5880.0,,Breast,breast_carcinoma,ERpos_HER2neg,luminal,PT-viJKnw,BRCA,BRCA,,Adult,caucasian,ATCC,,,MF-015-010,,,HTB-22,,
ACH-000020,MHHCALL2,MHHCALL2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,MHH-CALL-2,9081320.0,Female,DSMZ,,,Suspension,RPMI + 20% FBS,,CVCL_1409,haematopoietic_and_lymphoid_tissue,Primary,B-Lymphoblastic Leukemia/Lymphoma,B-Lymphoblastic Leukemia/Lymphoma,DLBC,15.0,SIDM00331,19060.0,,Lymphoid,ALL,b_cell,,PT-GMWtlF,BLL,BLL,,Pediatric,caucasian,DSMZ,,,MF-001-020,,,,,
ACH-000021,NCIH1693,NCIH1693_LUNG,NCI-H1693,6878020.0,Female,ATCC,4.0,"-3,650513454",Adherent,RPMI + 10% FBS,"85,9",CVCL_1488,lymph_node,Metastatic,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,55.0,SIDM00742,6340.0,,Lung,NSCLC,NSCLC_adenocarcinoma,,PT-9p1WQv,LUAD,LUAD,,Adult,caucasian,ATCC,,,MF-001-001,,,CRL-5887,,
ACH-000022,PATU8988S,PATU8988S_PANCREAS,PA-TU-8988S,,Female,DSMZ,2.0,"-4,872597074",Adherent,DMEM + 10% FBS + 2mM Glutamine,"93,7",CVCL_1846,liver,Metastatic,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,PAAD,64.0,SIDM00452,,,Pancreas,exocrine,exocrine_adenocarcinoma,,PT-lVglGI,PAAD,PAAD,,Adult,,DSMZ,,,MF-002-003,,,ACC 204,,
ACH-000023,PATU8988T,PATU8988T_PANCREAS,PA-TU-8988T,12402010.0,Female,DSMZ,,,Adherent,DMEM + 10% FBS,,CVCL_1847,liver,Metastatic,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,PAAD,64.0,SIDM00453,12420.0,,Pancreas,exocrine,exocrine_adenocarcinoma,,PT-lVglGI,PAAD,PAAD,,Adult,,DSMZ,,,MF-002-001,,,ACC 162,,
ACH-000024,OPM2,OPM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,OPM-2,9092490.0,Female,DSMZ,2.0,"-3,992180718",Suspension,RPMI + 10% FBS,"71,9",CVCL_1625,haematopoietic_and_lymphoid_tissue,Primary,Mature B-Cell Neoplasms,Plasma Cell Myeloma,MISC,56.0,SIDM00457,1120.0,,Lymphoid,multiple_myeloma,,,PT-codP7n,PCM,PCM,,Adult,,DSMZ,,,MF-001-001,,,,,
ACH-000025,CH157MN,CH157MN_CENTRAL_NERVOUS_SYSTEM,CH-157MN,,Female,Academic lab,2.0,"-4,186946841",Mixed,DMEM + 10% FBS,"92,8",CVCL_5723,central_nervous_system,Primary,Meningothelial Tumor,Meningioma,MISC,41.0,,,,CNS/Brain,meningioma,,,PT-nrgozM,MNG,MNG,,Adult,,Dunn (BWH),,,MF-002-001,,,,,
ACH-000026,253JBV,253JBV_URINARY_TRACT,253J-BV,,Male,KCLB,0.0,"-1,685470537",Mixed,DMEM + 10% FBS,89,CVCL_7937,lymph_node,Metastatic,Bladder Urothelial Carcinoma,Bladder Urothelial Carcinoma,BLCA,53.0,,,,Bladder/Urinary Tract,bladder_carcinoma,,,PT-AR7W9o,BLCA,BLCA,,Adult,,KCLB,,,MF-002-001,,,80002,,
ACH-000027,GOS3,GOS3_CENTRAL_NERVOUS_SYSTEM,GOS-3,,Male,DSMZ,,,Adherent,DMEM + 10% FBS,,CVCL_2050,central_nervous_system,Primary,Diffuse Glioma,Glioblastoma,GBM,64.0,,,SNP fingerprinting confirms that this line is an U-343 MG derivative. DepMap metadata has been updated (as of 22Q2) to reflect this.,CNS/Brain,glioma,glioblastoma,,PT-llPs5J,GB,GB,,Adult,,DSMZ,,,MF-002-001,,,ACC 408,,
ACH-000028,KPL1,KPL1_BREAST,KPL-1,,Female,DSMZ,3.0,"-3,414654755",Adherent,DMEM + 10% FBS,"69,6",CVCL_2094,pleural_effusion,Metastatic,Invasive Breast Carcinoma,Invasive Breast Carcinoma,BRCA,69.0,SIDM00147,,SNP fingerprinting confirms that this line is an MCF-7 derivative. DepMap metadata has been updated (as of 22Q2) to reflect this.,Breast,breast_carcinoma,ERpos_HER2neg,luminal,PT-viJKnw,BRCA,BRCA,,Adult,caucasian,DSMZ,,,MF-002-001,,,,,
ACH-000029,HCC827GR5,HCC827GR5_LUNG,HCC-827-GR5,,Female,Academic lab,2.0,"-4,519949188",Adherent,RPMI + 5% FBS,"49,1",CVCL_V622,lung,Primary,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,39.0,,,,Lung,NSCLC,NSCLC_adenocarcinoma,,PT-NdspH5,LUAD,LUAD,,Adult,caucasian,Janne (DFCI),,,MF-001-014,,,,,
ACH-000030,PC14,PC14_LUNG,PC-14,7536080.0,Male,RIKEN,3.0,"-5,257339744",Adherent,RPMI + 10% FBS,"91,6",CVCL_1640,lung,Primary,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,45.0,SIDM00237,1980.0,,Lung,NSCLC,NSCLC_adenocarcinoma,,PT-nDRyc6,LUAD,LUAD,,Adult,asian,RIKEN,,,MF-001-001,,,RCB4455,,
ACH-000031,PANC0213,PANC0213_PANCREAS,Panc 02.13,,Female,ATCC,,,Adherent,RPMI + 10% FBS,,CVCL_1634,pancreas,Primary,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,PAAD,64.0,,,,Pancreas,exocrine,exocrine_adenocarcinoma,,PT-o4NqQC,PAAD,PAAD,,Adult,caucasian,ATCC,,,MF-001-001,,,CRL-2554,,
ACH-000032,MHHCALL3,MHHCALL3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,MHH-CALL-3,,Female,DSMZ,,,Mixed,RPMI + 20% FBS,,CVCL_0089,bone_marrow,Primary,B-Lymphoblastic Leukemia/Lymphoma,B-Lymphoblastic Leukemia/Lymphoma,DLBC,11.0,,,,Lymphoid,ALL,b_cell,,PT-p2KOyI,BLL,BLL,,Pediatric,,DSMZ,Pre-treatment,,MF-001-020,,,ACC-339,,
ACH-000033,NCIH1819,NCIH1819_LUNG,NCI-H1819,,Female,Academic lab,,,Adherent,RPMI + 5% FBS,,CVCL_1497,lymph_node,Metastatic,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,55.0,,,,Lung,NSCLC,NSCLC_adenocarcinoma,,PT-9p1WQv,LUAD,LUAD,,Adult,caucasian,Meyerson (Broad) who received from Minna,,,MF-001-014,,,,,
ACH-000034,PLB985,PLB985_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,PLB-985,,Female,Academic lab,,,Suspension,RPMI + 10% FBS,,CVCL_2162,haematopoietic_and_lymphoid_tissue,Primary,Acute Myeloid Leukemia,Acute Myeloid Leukemia,LAML,35.0,SIDM00811,,SNP fingerprinting confirms that this line is an HL-60 derivative. DepMap metadata has been updated (as of 22Q2) to reflect this.,Myeloid,AML,M3,,PT-5qa3uk,AML,AML,,Adult,caucasian,Pellman (DFCI),,,MF-001-001,,,,,
ACH-000035,NCIH1650,NCIH1650_LUNG,NCI-H1650,6878000.0,Male,ATCC,2.0,"-3,023295750",Adherent,RPMI + 10% FBS,"91,5",CVCL_1483,pleural_effusion,Metastatic,Non-Small Cell Lung Cancer,Non-Small Cell Lung Cancer,MISC,27.0,SIDM00745,15480.0,,Lung,NSCLC,NSCLC_adenocarcinoma,,PT-5LVIPg,NSCLC,NSCLC,,Adult,caucasian,ATCC,,,MF-001-001,,,NCIH1650,,
ACH-000036,U343,U343_CENTRAL_NERVOUS_SYSTEM,U343,,Male,Academic lab,2.0,"-3,536064024",Adherent,DMEM + 10% FBS,"82,2",CVCL_4773,central_nervous_system,Primary,Diffuse Glioma,Glioblastoma,GBM,64.0,,,,CNS/Brain,glioma,glioblastoma,,PT-llPs5J,GB,GB,,Adult,,Linda Chin,,,MF-002-001,,,,,
ACH-000037,S117,S117_THYROID,S-117,,Female,DSMZ,2.0,"-4,075906648",Adherent,RPMI + 10% FBS,"76,4",CVCL_1674,soft_tissue,,"Sarcoma, NOS","Sarcoma, NOS",SARC,47.0,SIDM00035,,,Soft Tissue,thyroid_sarcoma,,,PT-JfLphU,SARCNOS,SARCNOS,,Adult,,DSMZ,,,MF-001-001,,,266,,
ACH-000038,EHEB,EHEB_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,EHEB,9068540.0,Female,DSMZ,,,Suspension,RPMI + 10% FBS,,CVCL_1194,haematopoietic_and_lymphoid_tissue,Primary,B-Lymphoblastic Leukemia/Lymphoma,B-Lymphoblastic Leukemia/Lymphoma,DLBC,69.0,SIDM01049,390.0,,Lymphoid,lymphoma_unspecified,b_cell,,PT-LoXnDo,BLL,BLL,,Adult,,DSMZ,,,MF-001-001,,,,,
ACH-000039,SKNMC,SKNMC_BONE,SK-N-MC,,Female,ATCC,3.0,"-2,627972269",Adherent,MEM + 10% FBS,"65,3",CVCL_0530,bone,Metastatic,Ewing Sarcoma,Ewing Sarcoma,SARC,14.0,SIDM00634,,,Bone,Ewing_sarcoma,,EWS_FLI,PT-wGDMGe,ES,ES,,Pediatric,caucasian,ATCC,,,MF-006-001,,,HTB-10,,
ACH-000040,U118MG,U118MG_CENTRAL_NERVOUS_SYSTEM,U-118 MG,6875880.0,Male,ATCC,2.0,"-3,785502016",Adherent,DMEM + 10% FBS,"69,1",CVCL_0633,central_nervous_system,Primary,Diffuse Glioma,Astrocytoma,LGG,47.0,SIDM01193,70.0,SNP fingerprinting confirms that this line is an U-138 MG derivative. DepMap metadata has been updated (as of 22Q2) to reflect this.,CNS/Brain,glioma,astrocytoma,,PT-5XnRfQ,ASTR,ASTR,,Adult,caucasian,ATCC,,,MF-002-001,,,HTB-15,,
ACH-000041,RDES,RDES_BONE,RD-ES,,Male,ATCC,2.0,"-2,731637336",Mixed,RPMI + 15% FBS,"88,3",CVCL_2169,bone,Primary,Ewing Sarcoma,Ewing Sarcoma,SARC,19.0,,,,Bone,Ewing_sarcoma,,EWS_FLI,PT-3yDaRJ,ES,ES,,Adult,caucasian,ATCC,,,MF-001-017,,,HTB-166,,
ACH-000042,PANC0203,PANC0203_PANCREAS,Panc 02.03,12984750.0,Female,ATCC,4.0,"-3,342296516",Adherent,RPMI + 15% FBS + 10 Units/ml recombinant insulin,"88,9",CVCL_1633,pancreas,Primary,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,PAAD,70.0,SIDM01139,18380.0,,Pancreas,exocrine,exocrine_adenocarcinoma,,PT-QOpMVz,PAAD,PAAD,,Adult,caucasian,ATCC,,,MF-001-042,,,CRL-2553,,
ACH-000043,HS895T,HS895T_FIBROBLAST,Hs 895.T,,Female,ATCC,,,Adherent,DMEM + 10% FBS,,CVCL_0993,fibroblast,Metastatic,Non-Cancerous,"Fibroblast, Skin",CNTL,48.0,,,,Fibroblast,fibroblast_skin,,,PT-rTUVZQ,ZFIBSKI,,,Adult,caucasian,ATCC,,,MF-002-001,,,CRL-7637,,
ACH-000044,MDAMB134VI,MDAMB134VI_BREAST,MDA-MB-134-VI,,Female,ATCC,,,Adherent,L-15 + 20% FBS,,CVCL_0617,pleural_effusion,Metastatic,Invasive Breast Carcinoma,Breast Invasive Lobular Carcinoma,BRCA,47.0,SIDM00005,,,Breast,breast_ductal_carcinoma,ERpos_HER2neg,luminal,PT-HMBfbj,ILC,ILC,,Adult,caucasian,ATCC,,,MF-021-003,,,,,
ACH-000045,MV411,MV411_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,MV4-11,9081560.0,Male,ATCC,2.0,"-2,880622685",Suspension,IMDM + 10% FBS,89,CVCL_0064,haematopoietic_and_lymphoid_tissue,Primary,Acute Myeloid Leukemia,Acute Myeloid Leukemia,LAML,10.0,SIDM00657,1330.0,,Myeloid,AML,,,PT-zb7Sx0,AML,AML,,Pediatric,,ATCC,,,MF-005-001,,,,,
ACH-000046,ACHN,ACHN_KIDNEY,ACHN,9059500.0,Male,ATCC,,,Adherent,MEM + 10% FBS,,CVCL_1067,pleural_effusion,Metastatic,Renal Cell Carcinoma,Papillary Renal Cell Carcinoma,KIRP,22.0,SIDM00123,3710.0,,Kidney,renal_cell_carcinoma,,,PT-zV8Sol,PRCC,PRCC,,Adult,caucasian,ATCC,,,MF-006-001,,,CRL-1611,,
ACH-000047,GCIY,GCIY_STOMACH,GCIY,9068690.0,Female,RIKEN,2.0,"-5,023425823",Adherent,MEM + 15% FBS,"89,6",CVCL_1228,ascites,Metastatic,Esophagogastric Adenocarcinoma,Stomach Adenocarcinoma,STAD,39.0,SIDM00274,14140.0,,Esophagus/Stomach,gastric_adenocarcinoma,,,PT-UVwT4j,STAD,STAD,,Adult,asian,RIKEN,,,MF-006-012,,,RCB0555,,
ACH-000048,TOV112D,TOV112D_OVARY,TOV-112D,12990700.0,Female,ATCC,2.0,"-3,090794127",Adherent,MCDB 105:Medium 199 (1:1) + 15% FBS + 1.5g/l Sodium bicarbonate,"47,6",CVCL_3612,ovary,Primary,Ovarian Epithelial Tumor,Endometrioid Ovarian Cancer,MISC,42.0,SIDM01170,50.0,,Ovary/Fallopian Tube,ovary_adenocarcinoma,endometrioid,,PT-EehOTC,EOV,EOV,,Adult,caucasian,ATCC,,,MF-044-001,,,CRL-11731,,
ACH-000049,HEKTE,HEKTE_KIDNEY,HEK TE,,Unknown,Academic lab,,,Adherent,,,CVCL_WS59,kidney,,Non-Cancerous,Immortalized Embyonic Kidney Cells,,,,,,Kidney,,,,PT-qWYYgr,ZIMMEKC,,,Unknown,,Jesse Boehm (Broad),,,,,,,,
ACH-000050,NCIH929,NCIH929_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,NCI-H929,7248250.0,Female,ATCC,,,Suspension,RPMI + 10% FBS + 50uM 2-Mercaptoethanol,,CVCL_1600,pleural_effusion,Metastatic,Mature B-Cell Neoplasms,Plasma Cell Myeloma,MISC,62.0,SIDM01148,12300.0,SNP fingerprinting rules out K-562 contamination.,Lymphoid,multiple_myeloma,plasmacytoma,,PT-HOg2sh,PCM,PCM,,Adult,caucasian,ATCC,,,MF-001-006,,,CRL-9068,,
ACH-000051,TE617T,TE617T_SOFT_TISSUE,TE 617.T,,Female,ATCC,,,Unknown,DMEM + 10% FBS,,CVCL_1755,soft_tissue,Primary,Rhabdomyosarcoma,Rhabdomyosarcoma,SARC,1.0,,,,Soft Tissue,rhabdomyosarcoma,,,PT-xfVhgW,RMS,RMS,,Pediatric,caucasian,ATCC,,,MF-002-001,,,Discontinued,,
ACH-000052,A673,A673_BONE,A-673,6840520.0,Female,ATCC,2.0,"-2,945665017",Adherent,DMEM + 10% FBS,"67,2",CVCL_0080,soft_tissue,Primary,Ewing Sarcoma,Ewing Sarcoma,SARC,15.0,SIDM00848,6600.0,,Bone,Ewing_sarcoma,,EWS_FLI,PT-IAac7b,ES,ES,,Pediatric,,ATCC,,,MF-002-001,,,CRL-1598,,
ACH-000053,KARPAS299,KARPAS299_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,KARPAS-299,9072730.0,Male,Academic lab,3.0,"-5,351302515",Suspension,RPMI + 20% FBS + 2mM Glutamine,"55,5",CVCL_1324,haematopoietic_and_lymphoid_tissue,,Mature T and NK Neoplasms,Anaplastic Large-Cell Lymphoma ALK Positive,MISC,25.0,SIDM01010,9060.0,,Lymphoid,non_hodgkin_lymphoma,t_cell_ALCL,,PT-nECHHn,ALCLALKP,ALCLALKP,,Adult,,Received from NIBRI,,,MF-001-021,,,,,
ACH-000054,HT1080,HT1080_SOFT_TISSUE,HT-1080,9070640.0,Male,ATCC,2.0,"-3,871935080",Adherent,MEM + 10% FBS,"85,9",CVCL_0317,soft_tissue,Metastatic,Fibrosarcoma,Fibrosarcoma,SARC,35.0,SIDM00828,13910.0,,Soft Tissue,fibrosarcoma,,,PT-cVfhmE,FIBS,FIBS,,Adult,caucasian,ATCC,,,MF-006-001,,,CCL-121,,
ACH-000055,D283MED,D283MED_CENTRAL_NERVOUS_SYSTEM,D283 Med,9068340.0,Male,ATCC,3.0,"-3,772760017",Mixed,MEM + 10% FBS,"69,3",CVCL_1155,abdomen,Metastatic,Embryonal Tumor,Medulloblastoma,MISC,6.0,SIDM00888,11840.0,,CNS/Brain,medulloblastoma,med_group_3,MYC_exp,PT-xKYZGz,MBL,MBL,,Pediatric,caucasian,ATCC,,,MF-006-001,,,HTB-185,,
ACH-000056,DOHH2,DOHH2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,DOHH-2,9068420.0,Male,DSMZ,,,Suspension,RPMI + 10% FBS,,CVCL_1179,pleural_effusion,Metastatic,Mature B-Cell Neoplasms,"Diffuse Large B-Cell Lymphoma, NOS",DLBC,60.0,SIDM00981,13390.0,,Lymphoid,non_hodgkin_lymphoma,DLBCL,,PT-QeK3sM,DLBCLNOS,DLBCLNOS,,Adult,,DSMZ,,,MF-001-001,,,ACC 47,,
ACH-000057,OPM1,OPM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,OPM-1,,Female,Academic lab,,,Suspension,,,CVCL_5210,haematopoietic_and_lymphoid_tissue,,Mature B-Cell Neoplasms,Plasma Cell Myeloma,MISC,56.0,SIDM00456,,,Lymphoid,multiple_myeloma,,,PT-codP7n,PCM,PCM,,Adult,,Constantine (DFCI),,,,,,,,
ACH-000058,ML1,ML1_THYROID,ML-1,12401780.0,Female,DSMZ,,,Adherent,DMEM + 20% FBS,,CVCL_H525,thyroid,Primary,Well-Differentiated Thyroid Cancer,Follicular Thyroid Cancer,THCA,50.0,SIDM00442,12270.0,,Thyroid,thyroid_carcinoma,follicular,,PT-HRqr49,THFO,THFO,,Adult,,DSMZ,,,MF-002-009,,,,,
ACH-000059,SUPB15,SUPB15_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SUP-B15,12478710.0,Male,ATCC,,,Suspension,IMDM + 20% FBS + 1.5g/L NaCO3,,CVCL_0103,bone_marrow,Primary,B-Lymphoblastic Leukemia/Lymphoma,B-Lymphoblastic Leukemia/Lymphoma with t(9;22)(q34.1;q11.2);BCR-ABL1,DLBC,9.0,SIDM01176,7860.0,,Lymphoid,ALL,b_cell,,PT-rikOUx,BLLBCRABL1,BLLBCRABL1,,Pediatric,caucasian,ATCC,,,MF-005-008,,,CRL-1929,,
